Frame Number	Person index	BBox	2D KeyPoints	Root Position	3D KeyPoints	Head Vector	Head Yaw Pitch Roll	Heat Map Points
74	[2]	[[403.1681886434999, 214.73562187477359, 370.3720042923933, 744.8111764229798]]	[[[597.8036499023438, 247.3948516845703], [595.9183349609375, 389.92559814453125], [670.4124145507812, 391.00714111328125], [717.304931640625, 511.2844543457031], [744.1881713867188, 575.3093872070312], [524.1510009765625, 386.60870361328125], [502.32037353515625, 496.09405517578125], [509.7301940917969, 574.2720947265625], [654.437744140625, 594.1231689453125], [708.562255859375, 725.7379150390625], [647.5863647460938, 863.8760375976562], [569.705322265625, 590.2978515625], [624.641357421875, 718.7275390625], [630.6002197265625, 845.0230712890625], [614.0044555664062, 591.5189208984375], [601.3860473632812, 492.8431091308594], [599.6242065429688, 330.25921630859375], [754.1376953125, 593.1823120117188], [510.077880859375, 597.42626953125], [665.3466186523438, 895.6350708007812], [645.8263549804688, 826.7642822265625]]]	[[-913.8909247568484, 988.9034693899332, 3184.4094420363235]]	[[[1433.9021893157988, -1847.1961725250678, 1700.1223785949514], [1431.1350313768585, -1486.3898669639866, 1768.7061356147833], [1219.3786368089554, -1498.7672210904734, 1765.8111642761164], [1084.8612143417465, -1191.2388217711132, 1788.7655876222934], [1089.6910698371305, -996.4079067524037, 1632.4643585832355], [1638.7477698179443, -1480.4755653315694, 1771.2185331743203], [1770.3116837823766, -1157.046680792823, 1744.130168368454], [1829.4698991074702, -901.0552858347833, 1718.6946299090785], [1309.6326028027663, -927.688706190514, 1763.5680495897543], [1293.0341741730567, -441.2793678718098, 1676.4410593240952], [1358.2714251707398, -115.63934871318993, 1945.3377210138417], [1595.689304825996, -884.808249101017, 1705.03943899271], [1543.4183861307015, -466.7853152945858, 1509.7378485960953], [1543.590640553138, -88.68520437715436, 1500.6332596895295], [1453.0750267972614, -905.780529910533, 1729.9422101441369], [1434.3985311351005, -1214.4525962748562, 1774.6237624639232], [1435.2041917861711, -1638.5512076409852, 1722.1378546256014], [1083.706156195104, -930.9641567679994, 1591.2412835010145], [1864.1543067478817, -800.6365765969841, 1690.5401297568408], [1347.0417416512325, 14.59340889507774, 1887.9588657842405], [1576.3890395274843, -48.54824729072101, 1359.8763150214643]]]	[[-0.17972206014740436, -0.0650097657183127, -0.9871432534762612]]	[[-38.28361511230469, 179.15371704101562, -179.1531982421875]]	
75	[2]	[[423.73180171828403, 212.23065218327645, 349.59195435726724, 715.450789210121]]	[[[607.1670532226562, 243.43890380859375], [602.60986328125, 383.9537658691406], [674.2333374023438, 386.792236328125], [710.2640380859375, 500.72772216796875], [739.9649658203125, 568.3368530273438], [532.8159790039062, 378.6925048828125], [510.9847717285156, 484.49652099609375], [526.901123046875, 563.3375854492188], [658.4525146484375, 583.8651733398438], [711.1047973632812, 708.4921875], [655.427490234375, 837.8344116210938], [576.53564453125, 583.69580078125], [630.1803588867188, 710.91845703125], [630.2368774414062, 833.571533203125], [618.8919067382812, 583.5194091796875], [606.8419799804688, 486.5303649902344], [607.6406860351562, 324.38427734375], [747.983642578125, 587.5391845703125], [533.6947021484375, 587.2890625], [673.3796997070312, 874.3563232421875], [648.322509765625, 821.2244262695312]]]	[[-918.0773771373482, 973.5968213934786, 3228.8005734409535]]	[[[1443.6433525104537, -1852.3173510630597, 1658.405550404365], [1440.4815907791299, -1499.6340991825243, 1728.3700570689357], [1235.6867591698299, -1511.1229274467514, 1723.3894120781824], [1111.3969907458575, -1212.8357848444398, 1749.4817541670143], [1108.6427892823065, -1005.6442465006279, 1606.7467348194768], [1644.850017598012, -1494.0127697768064, 1726.3406077701443], [1773.533346234522, -1174.6447566677052, 1690.3813761900747], [1817.2776721702585, -925.6289160684214, 1661.570374138645], [1324.715241563028, -948.5202195476077, 1716.1849619615346], [1289.6747895952735, -468.4083030026877, 1594.6312036940901], [1366.1515577009027, -148.12925862001194, 1853.58081545923], [1606.110563372304, -901.9206755422157, 1657.7329648949801], [1560.8104199389954, -464.9142145039069, 1477.4831646347359], [1560.5181385879466, -73.2198367306583, 1495.871922377786], [1465.5050950776454, -924.133028649757, 1681.7682730704273], [1446.024678109411, -1229.6915906544114, 1730.9986458357662], [1444.1792562925193, -1648.2430634452642, 1680.752101040762], [1103.1481680396569, -934.1839825135002, 1563.5086920161036], [1847.9460632246532, -828.3951282912222, 1628.0132416857596], [1356.6500881594757, -3.0509785193766117, 1808.2396873252728], [1590.8121656442436, -29.572096800592565, 1351.8370534137487]]]	[[-0.19496493765000628, -0.061177279419252356, -0.9839768180499882]]	[[-38.98616027832031, 179.20555114746094, -179.22445678710938]]	
76	[2]	[[441.4608677760192, 210.73109514701264, 331.66838370667324, 690.2165783582645]]	[[[613.4140014648438, 239.74644470214844], [608.5645141601562, 378.0832824707031], [677.91259765625, 381.2123718261719], [709.3701782226562, 495.4613037109375], [740.7175903320312, 566.1795654296875], [541.4373168945312, 370.84552001953125], [522.2387084960938, 480.47216796875], [554.9445190429688, 552.8258056640625], [664.7544555664062, 578.5994262695312], [721.4586181640625, 692.1154174804688], [671.40625, 819.1573486328125], [580.8673706054688, 575.193359375], [630.2631225585938, 711.859619140625], [634.8665161132812, 835.1759033203125], [624.0585327148438, 575.9169311523438], [612.5458374023438, 480.31103515625], [614.2412109375, 319.5686340332031], [751.5113525390625, 584.3457641601562], [562.29150390625, 571.8618774414062], [693.0072021484375, 848.7777099609375], [661.9926147460938, 818.1427612304688]]]	[[-909.7740053180335, 953.0107550061548, 3289.7209054188934]]	[[[1454.5513259342822, -1857.678154287032, 1568.9288832661218], [1448.8273918996126, -1517.129094114681, 1655.0629814144038], [1251.8187461084299, -1528.1595118130442, 1649.9238493466707], [1137.7570930413776, -1239.230842337027, 1687.9488246162402], [1125.3530590267087, -1016.030327393022, 1562.1267358035486], [1649.3929852643018, -1511.4119377976715, 1647.5077722537403], [1775.1810242640383, -1192.2808367756597, 1612.5265653085687], [1800.6187651904363, -944.7505117592353, 1574.4576397662304], [1337.4926243114678, -969.9311524032975, 1654.3727731999265], [1289.6008454820994, -495.4019543238712, 1504.9521939478254], [1378.7876700335592, -172.1363377180138, 1746.0119207982395], [1614.5386234815987, -920.6786754520264, 1595.7020759459313], [1567.8990587138362, -461.1579157707827, 1447.0877965883765], [1566.924205594559, -45.35323960209063, 1477.7431270548207], [1475.0853821401918, -944.3918144394893, 1619.1115086940456], [1456.6168235228147, -1246.997518672808, 1662.9601556087073], [1452.5362480118285, -1660.0035736784946, 1600.9189365467803], [1119.2261592060563, -939.3098415827827, 1518.243865225413], [1824.609674188419, -852.6072700521088, 1540.0959570137125], [1366.1475868396096, -20.802017410329363, 1702.2691742507213], [1584.0289772558722, -4.12131121815833, 1334.1296710938805]]]	[[-0.21863938625211257, -0.055335837330483605, -0.9787912734994143]]	[[-39.81256103515625, 179.25680541992188, -179.3011016845703]]	
77	[2]	[[457.8404195657454, 209.59809342974546, 315.806620372942, 667.9860703990921]]	[[[622.2423706054688, 235.6842041015625], [614.2061157226562, 370.852783203125], [681.43798828125, 374.96246337890625], [714.9666748046875, 491.4624328613281], [740.0891723632812, 567.8297729492188], [549.1010131835938, 363.2336120605469], [534.93408203125, 471.0700378417969], [581.0118408203125, 526.3285522460938], [672.3590698242188, 572.815185546875], [731.6647338867188, 675.6307983398438], [686.3772583007812, 795.6027221679688], [589.4822998046875, 569.3697509765625], [632.4336547851562, 704.697021484375], [630.2841796875, 831.2037353515625], [632.0844116210938, 569.9721069335938], [618.5147094726562, 473.98406982421875], [622.5443115234375, 315.1219482421875], [749.8111572265625, 592.3234252929688], [587.1289672851562, 545.1737060546875], [706.078369140625, 818.7949829101562], [658.8352661132812, 813.823486328125]]]	[[-905.141174582508, 928.6679111083353, 3361.305262119059]]	[[[1482.471573459295, -1863.515861178498, 1470.132780586871], [1475.1385233801311, -1529.1914196948055, 1569.8528829987838], [1282.4186191360802, -1540.201549017219, 1567.9465829651751], [1172.4045671954473, -1257.6319936021368, 1620.811866343696], [1151.6449556457753, -1020.0880330123798, 1508.0035047540023], [1673.6675444186615, -1522.8447878024456, 1556.4848395774538], [1792.7146912910096, -1199.4227829414415, 1520.511777899631], [1793.3199371244227, -960.0489400491109, 1466.5872569180856], [1356.5901606277175, -983.0205198084158, 1582.97352184223], [1296.2750561536498, -510.9692726307281, 1410.8452368067487], [1396.435619573617, -176.4452430711019, 1624.548277499398], [1634.0112867245202, -931.5300906259782, 1524.1947841423694], [1582.772908363061, -454.4100227439558, 1400.877424561688], [1584.9481244563885, -32.217151570750325, 1455.0949366238094], [1492.965874874796, -956.6797866649626, 1547.2001730370841], [1480.1596509552712, -1258.3215337338818, 1585.9573120681691], [1477.373248953876, -1668.0896918369592, 1511.2639569906958], [1143.3266122990228, -938.8613559351135, 1465.342997381283], [1810.958437162256, -873.0126609847525, 1432.9121540815793], [1376.0291537187504, -29.894792939820828, 1576.9103353930352], [1588.0293750274748, 10.140092320144836, 1312.0959131961986]]]	[[-0.24196696200222756, -0.04971808289152062, -0.97297495229607]]	[[-40.87476348876953, 179.29855346679688, -179.38821411132812]]	
78	[2]	[[466.707441946053, 207.2244158651768, 306.3580296094419, 659.9183045090799]]	[[[630.489501953125, 233.84066772460938], [619.5123291015625, 367.6597900390625], [685.2282104492188, 372.5161437988281], [717.402587890625, 489.39996337890625], [740.81689453125, 567.7684326171875], [556.1229858398438, 360.7173767089844], [545.0549926757812, 461.7636413574219], [591.2515258789062, 500.1725158691406], [678.5485229492188, 569.4293823242188], [734.7423095703125, 665.667724609375], [696.1122436523438, 789.803466796875], [593.4398803710938, 567.3802490234375], [633.721923828125, 702.7813720703125], [634.7078857421875, 833.2408447265625], [637.1892700195312, 567.53759765625], [623.0750122070312, 470.4949951171875], [629.3470458984375, 312.31982421875], [750.1258544921875, 595.28662109375], [598.1940307617188, 513.0188598632812], [717.4766235351562, 804.4926147460938], [654.7125244140625, 808.4694213867188]]]	[[-892.0018519312774, 908.4617618557435, 3421.5375171025357]]	[[[1497.0146562215664, -1867.1528513493995, 1377.3257323767273], [1488.9954107128247, -1540.3533965582558, 1494.5122869086135], [1299.0788498831703, -1549.0816320203332, 1498.220785557314], [1192.5160873314755, -1270.8589637424013, 1567.8848691482656], [1169.058860306287, -1022.6368615434795, 1464.981557582404], [1685.5003194218048, -1534.7759186931592, 1475.2051050851758], [1803.4864116907472, -1209.5594393902786, 1430.8957517622503], [1775.9026143393567, -988.2550894956933, 1364.1959543446362], [1363.4671731382375, -993.9137181761066, 1521.6201336394322], [1300.4602183585223, -528.9775160170533, 1335.8273845759356], [1405.2705594939252, -176.75944823384884, 1522.6111222897703], [1642.7515033653135, -940.6809232761697, 1463.823627600864], [1587.6408433004638, -448.277726655132, 1369.4738444176899], [1589.5202309919093, -17.912412547739798, 1435.3106098891108], [1499.7158961531854, -967.1130588229546, 1486.490306515968], [1491.9248019720208, -1268.1908492780233, 1519.5376740470763], [1488.5091685740633, -1675.0854278153515, 1431.3757982353366], [1159.040348582494, -939.4396585540725, 1426.963734296383], [1786.7371817896126, -908.58407575228, 1329.7380799715272], [1375.371670978496, -33.63491307568255, 1464.986123277663], [1582.9961468243775, 20.39204541313754, 1292.2852289273012]]]	[[-0.2700850505560272, -0.04558698763915574, -0.9649591297140848]]	[[-42.071266174316406, 179.3916473388672, -179.51370239257812]]	
79	[2]	[[475.08977755336264, 206.44634734360454, 299.0653124369501, 656.8945047807949]]	[[[638.3739624023438, 235.153564453125], [626.5057983398438, 366.0871276855469], [689.3267822265625, 372.1131896972656], [716.63330078125, 486.6152648925781], [742.6845092773438, 567.35009765625], [566.9592895507812, 357.4563293457031], [553.4645385742188, 449.9747009277344], [598.5562133789062, 454.728515625], [685.2404174804688, 566.245849609375], [739.0216674804688, 661.9387817382812], [707.1360473632812, 786.6195678710938], [600.3604125976562, 562.1387329101562], [635.37841796875, 698.6458740234375], [634.65576171875, 827.6907958984375], [643.1964721679688, 563.7742919921875], [630.5183715820312, 468.2342529296875], [636.9666137695312, 311.2217712402344], [753.2509155273438, 595.3390502929688], [608.0993041992188, 451.3130798339844], [737.9165649414062, 791.000244140625], [655.924560546875, 807.193115234375]]]	[[-882.8030670321392, 886.6604441999376, 3486.089572210601]]	[[[1503.7403237109013, -1867.015850719523, 1294.5156169576924], [1500.1023212552918, -1538.644498074489, 1419.2152104378692], [1310.192126611311, -1544.5963613623217, 1427.5565919601909], [1207.860237642279, -1266.5962253376986, 1511.698669165168], [1181.1710169350854, -1010.4530039355368, 1420.3599127318691], [1695.9627264366127, -1536.5082482097755, 1395.630335146506], [1816.7175297332415, -1211.8104547064738, 1340.4142320135231], [1765.7971653944617, -1031.0617739208083, 1259.3315276186725], [1369.7982746425096, -984.8598995976201, 1454.7705009359838], [1307.3118278672953, -533.1252276286251, 1259.531286090035], [1410.2289298542564, -163.62022686670235, 1422.5684914925607], [1651.9152926599184, -935.5643581912318, 1400.78386998012], [1597.581942239657, -444.0362559490157, 1329.8705132171042], [1601.5666652703962, -13.85442575303484, 1406.0694517648149], [1508.2221277926606, -959.9497720031284, 1421.8608372334088], [1502.2236165859522, -1262.6140578610236, 1450.3392263536373], [1495.2075998212058, -1674.3854645150404, 1354.4584754133994], [1168.5988775761525, -923.3653957853855, 1389.1205878245564], [1769.5776359313309, -968.5010759029035, 1221.038718481219], [1372.2792851655443, -34.37741305814747, 1354.2971432849588], [1590.9645141578674, 22.36477201398009, 1261.1857288989972]]]	[[-0.3011888076328203, -0.043273002588715144, -0.9550265363994154]]	[[-43.41063690185547, 179.47984313964844, -179.64300537109375]]	
80	[2]	[[488.2137149510028, 207.58995757011422, 293.04015864915806, 654.9709158963924]]	[[[646.494140625, 237.92657470703125], [634.9680786132812, 364.6130676269531], [694.4990844726562, 371.3727722167969], [719.0537719726562, 483.7441101074219], [747.4099731445312, 560.2608032226562], [577.7615966796875, 354.2284851074219], [563.0784301757812, 440.1988830566406], [608.8440551757812, 429.123046875], [688.111572265625, 563.2678833007812], [738.4071655273438, 661.3856201171875], [720.8380737304688, 779.772216796875], [607.4088134765625, 557.657958984375], [636.1007080078125, 696.69970703125], [634.6192016601562, 826.0220947265625], [647.4501953125, 560.1859130859375], [637.0003662109375, 466.3690490722656], [644.2177734375, 310.2236328125], [757.977294921875, 585.202880859375], [619.496337890625, 413.48126220703125], [751.9003295898438, 773.11767578125], [656.3153686523438, 810.41552734375]]]	[[-870.5378294276092, 866.417203132175, 3546.3538625038686]]	[[[1503.3497666105266, -1864.985282452221, 1216.4772585940095], [1503.574330425988, -1538.1355835081235, 1347.6947214709676], [1315.7946133910846, -1541.2421721452704, 1358.958198542568], [1216.3087715156666, -1261.1542814689697, 1453.8758432724712], [1187.3330344175317, -999.7640983444865, 1372.4666595685167], [1697.7054600858407, -1539.2325045165082, 1319.3377772032043], [1822.287706930591, -1217.2820072394522, 1252.5990627131928], [1753.8136286702893, -1085.5492668087404, 1153.3624179597662], [1371.5210115385362, -977.2320161956669, 1393.7202664894792], [1311.8463126055426, -532.0905803323856, 1191.60294707289], [1409.2685531103953, -141.02232695640578, 1323.9275776225468], [1655.1410720376743, -933.9777646828526, 1342.074421718397], [1607.7496496541876, -438.6327152835319, 1294.0467730127127], [1608.944063089383, -9.87930892478525, 1386.0356983831332], [1511.4542669771104, -955.5198241063595, 1362.6001726096333], [1506.0077761849038, -1259.0534883522307, 1385.1480747008936], [1495.7229786389028, -1673.5741546113632, 1280.711720318784], [1171.6658474590038, -910.458588351191, 1346.4400579616959], [1751.879184989378, -1048.8791338082212, 1112.9479444909098], [1363.991746445978, -34.160898789956356, 1240.6073090622679], [1596.7818719337429, 26.139726058741036, 1238.3714846871262]]]	[[-0.3314895436500682, -0.04091523549952771, -0.9447670287645646]]	[[-44.659061431884766, 179.5282745361328, -179.7266845703125]]	
81	[2]	[[507.6443989069875, 210.09755288203706, 288.9433493924089, 654.749448062385]]	[[[656.8650512695312, 239.4755401611328], [645.353759765625, 363.9275817871094], [700.1548461914062, 370.5828857421875], [730.0160522460938, 485.3950500488281], [754.937744140625, 565.3358764648438], [590.4285278320312, 355.0702819824219], [580.9722290039062, 438.3079528808594], [622.307373046875, 370.5015869140625], [704.3701171875, 558.7069091796875], [746.1050415039062, 654.7911376953125], [735.0667724609375, 764.3574829101562], [619.0703125, 551.7177124023438], [639.7951049804688, 700.509765625], [631.7896118164062, 825.8379516601562], [661.50390625, 556.455810546875], [650.0557861328125, 464.3443908691406], [653.666015625, 311.1328125], [763.9818115234375, 590.21728515625], [630.7205810546875, 358.94415283203125], [765.551025390625, 750.6026000976562], [657.3709106445312, 815.6229248046875]]]	[[-862.0939177307715, 847.5301562590824, 3602.318491317914]]	[[[1512.1017197671745, -1859.5323782830799, 1146.1272138426423], [1513.5218529663132, -1534.7840960776873, 1283.1736401591927], [1330.0144064278097, -1536.372257726036, 1296.685690408779], [1226.779417735069, -1253.4653770974949, 1399.4169787910575], [1194.6634975488103, -988.917015146669, 1331.8280259771261], [1705.0369330179822, -1536.0739092732624, 1251.5899992420548], [1830.2093646669666, -1218.6824774754234, 1169.1864253612466], [1743.1152597770697, -1177.3189213640599, 1068.590087014353], [1373.542123502504, -969.4812307843127, 1334.3345653741474], [1319.2546560887504, -527.8431966922984, 1129.3630502631945], [1405.4721900441805, -119.74624132801382, 1229.3531431797537], [1659.0161991331315, -930.1149643175049, 1287.0347948450321], [1618.4763062361124, -429.74928176321, 1259.293605998698], [1618.929998909214, -8.356535543605261, 1369.806495785594], [1514.5624483880583, -949.1411615741561, 1307.2418175981982], [1512.1063392095862, -1253.8095945696475, 1326.5145588759929], [1504.7574816143674, -1669.3729717900344, 1214.1750743288824], [1176.4891585016521, -898.7836834134084, 1314.4310476616918], [1735.411352678731, -1163.0530989457093, 1032.053699961157], [1353.9135403867708, -39.10786854008039, 1132.3986872845796], [1607.157076440452, 32.45521180902108, 1223.715592747372]]]	[[-0.35586498255948334, -0.03996662162716739, -0.9357101594131157]]	[[-45.77349090576172, 179.5791778564453, -179.8033447265625]]	
82	[2]	[[527.436565168253, 212.41344914127717, 285.43329912571517, 653.7456201524292]]	[[[666.666259765625, 239.7639923095703], [654.5396728515625, 362.88543701171875], [707.1035766601562, 372.3542785644531], [737.9653930664062, 487.5220642089844], [761.7131958007812, 564.1849365234375], [602.1837158203125, 352.743408203125], [592.18408203125, 435.861572265625], [639.9598999023438, 373.3262634277344], [711.4625244140625, 551.8259887695312], [746.04931640625, 650.2277221679688], [751.9528198242188, 751.6232299804688], [628.2578735351562, 545.5084228515625], [645.4968872070312, 696.3897094726562], [634.5004272460938, 823.71337890625], [670.1742553710938, 549.8701782226562], [660.2215576171875, 460.0322265625], [663.254638671875, 312.27886962890625], [772.47021484375, 587.5955200195312], [651.06201171875, 361.5659484863281], [786.44970703125, 729.9662475585938], [663.0205078125, 813.488525390625]]]	[[-846.3334067903816, 830.1351628899305, 3654.560005017162]]	[[[1502.6948639924585, -1855.1539922093812, 1098.9321202463636], [1509.4201668302148, -1531.267625430354, 1232.1634897745935], [1330.990257817529, -1529.9090346197015, 1248.9490758528138], [1229.7238275389275, -1241.8926480755558, 1349.9083221390342], [1194.4773380309862, -977.2753486521024, 1290.3577894904959], [1697.6990685705232, -1533.4264633014077, 1195.7084894814645], [1827.0367974496082, -1221.093168527389, 1097.8328446629173], [1724.600246148419, -1259.7439907153316, 1001.0235738038933], [1370.8229912433264, -962.1556430134436, 1277.4715561437426], [1327.565798059639, -519.7881098448453, 1077.843709407491], [1394.4785676702147, -96.66457147699244, 1141.8374600600525], [1656.6039311821767, -928.3339695964661, 1235.9103791600974], [1623.1229135288436, -421.9602158144876, 1229.1962498628666], [1624.2292421803247, -6.127575690877504, 1353.3994927289082], [1511.7356124189769, -944.1148376559797, 1255.3465167533247], [1508.8086651458439, -1248.3537899065661, 1272.4484038646413], [1499.2278566813138, -1665.2786114349053, 1164.1514810744932], [1173.3270936568545, -889.8429575338569, 1278.2829905972208], [1709.4998803240671, -1268.0067743664206, 967.3019610817873], [1332.9185208132087, -44.66763879406881, 1029.601287488111], [1611.2267410764748, 38.78098927750867, 1209.837261549245]]]	[[-0.37697121556631047, -0.03947575492991248, -0.9273746744558314]]	[[-46.59925842285156, 179.6205291748047, -179.85018920898438]]	
83	[2]	[[542.567573524945, 215.31221405444353, 281.5236859826118, 651.7407752798711]]	[[[677.5482177734375, 241.48226928710938], [666.73876953125, 362.74786376953125], [717.1971435546875, 374.4445495605469], [746.5818481445312, 491.27923583984375], [770.6467895507812, 568.2232666015625], [615.6991577148438, 357.6598815917969], [606.6354370117188, 434.6752624511719], [647.1741333007812, 362.6448669433594], [721.2083740234375, 549.2183837890625], [749.0172119140625, 650.2905883789062], [765.6111450195312, 736.40869140625], [639.1802368164062, 543.8516845703125], [648.15869140625, 699.3928833007812], [632.71240234375, 825.671142578125], [680.1478271484375, 547.8021240234375], [673.0751953125, 460.41168212890625], [674.1223754882812, 314.4092102050781], [781.1499633789062, 590.779052734375], [656.0625610351562, 354.6682434082031], [794.3006591796875, 714.1904907226562], [663.958251953125, 812.0106201171875]]]	[[-829.5023005300396, 812.7108725660203, 3706.9807875785627]]	[[[1497.7613853098158, -1849.4387781913856, 1051.3899299020518], [1506.8683776772923, -1527.8188848483533, 1178.9523964199698], [1334.3720590542819, -1524.0165174629287, 1199.5390100519646], [1234.2885082523612, -1231.2567282157574, 1298.6382370195756], [1193.263995796881, -967.517484372583, 1247.9574525805021], [1690.992086067166, -1527.1947686571039, 1139.1090604754697], [1821.674441710239, -1219.9301017143878, 1029.811340397791], [1708.261984530909, -1335.9255288684847, 940.7043945543244], [1368.5199680552796, -958.2509500649602, 1220.7988955647816], [1335.9990219863178, -508.9156141296705, 1031.3449396533456], [1380.4791071207962, -79.1532458555081, 1049.4129952799074], [1653.1594268674787, -926.9561237421055, 1182.4577652540695], [1626.2841281300505, -413.6979630939028, 1203.2012672895742], [1632.5411443299483, -4.360392084286594, 1339.4862632885554], [1508.9092281040098, -940.9955861140561, 1202.2341116592045], [1505.26607647979, -1242.6274703136296, 1215.9035908118503], [1497.5708291409032, -1659.47183672416, 1111.9183967224574], [1169.2390701384336, -884.3310493910702, 1239.5180674004382], [1687.7150611376567, -1360.5681387145135, 911.4393265556457], [1312.5951329862323, -52.25672583015843, 925.7372885271263], [1610.1611981863327, 47.022850921147544, 1199.0757283750195]]]	[[-0.39333354181456437, -0.038718723541444504, -0.9209787271763489]]	[[-47.21631622314453, 179.59640502929688, -179.83839416503906]]	
84	[2]	[[552.9473470137243, 217.0739893399039, 277.09730384179375, 649.3262526707249]]	[[[685.8585815429688, 243.774658203125], [675.6262817382812, 364.6344909667969], [725.37744140625, 375.5203857421875], [752.5360717773438, 488.41278076171875], [775.1384887695312, 567.2056884765625], [625.0388793945312, 355.9798889160156], [612.54638671875, 429.6500549316406], [653.0108642578125, 356.6518249511719], [728.0445556640625, 549.0320434570312], [754.2843017578125, 646.5857543945312], [770.0252685546875, 732.5140991210938], [647.422119140625, 541.762451171875], [655.4392700195312, 690.9752197265625], [638.1677856445312, 820.3619384765625], [687.3221435546875, 546.8637084960938], [680.896728515625, 459.1050720214844], [683.0985717773438, 314.9005432128906], [785.7550659179688, 590.5818481445312], [662.548828125, 344.3465270996094], [801.441162109375, 710.3465576171875], [663.8782958984375, 810.5717163085938]]]	[[-815.9003800347311, 796.9169925429397, 3754.3518630545564]]	[[[1493.360343781594, -1843.2579907071115, 1006.8503126365603], [1502.163070423382, -1523.687053743402, 1131.2713995624142], [1335.4468901439398, -1518.2548069322186, 1153.8553307781042], [1235.4627572923282, -1221.861881696887, 1249.3043378858679], [1190.928127123431, -959.0176238352526, 1207.0112968349815], [1682.7782500234596, -1521.5983081347067, 1089.6429295256046], [1814.3537277263035, -1217.4780400546672, 970.7029961057367], [1691.2947890874116, -1389.9478569430735, 892.0677340176061], [1364.9846988224697, -954.5208754317855, 1168.5144516918015], [1343.5457548826669, -498.86915159441264, 986.3186232433361], [1367.3139520237112, -67.892869712601, 963.8610125016309], [1647.5896109226271, -925.1142544811438, 1132.977762653672], [1627.4200439277893, -405.89805316738074, 1173.7728059039669], [1636.3859124058904, -2.9010887985855405, 1326.6856058015526], [1504.25735857428, -937.7557659273293, 1153.084800745818], [1499.9968055103275, -1238.1504410561224, 1164.5417968123734], [1494.9483751575744, -1653.4185852269884, 1063.8256097582737], [1164.7248194586068, -879.8074809240997, 1202.098588065013], [1665.3362863853495, -1423.9716114956907, 871.9045083979036], [1297.040569001165, -59.67853460744356, 832.0699301487687], [1609.0667563215013, 55.0618465059061, 1190.1375185847703]]]	[[-0.40383008111475427, -0.0388686249969263, -0.9164178549020153]]	[[-47.498291015625, 179.60508728027344, -179.85850524902344]]	
85	[2]	[[560.3567371516604, 218.39877126482594, 271.6619739461489, 646.0600521759106]]	[[[694.5767211914062, 242.60086059570312], [682.6140747070312, 364.7560119628906], [732.999755859375, 374.1146545410156], [760.6898803710938, 485.9654235839844], [780.6233520507812, 567.3167724609375], [632.4967041015625, 355.57757568359375], [623.359619140625, 436.3437805175781], [660.2003784179688, 391.2840270996094], [734.6022338867188, 544.880615234375], [760.959716796875, 644.2113647460938], [769.12109375, 734.1528930664062], [656.0672607421875, 537.9826049804688], [667.6119384765625, 683.0460815429688], [638.38818359375, 812.5921020507812], [695.8173828125, 542.6936645507812], [688.0761108398438, 455.3439025878906], [690.891357421875, 313.4659729003906], [790.9761962890625, 592.2750244140625], [671.4440307617188, 385.9138488769531], [803.9102783203125, 715.2062377929688], [661.8111572265625, 810.1322631835938]]]	[[-804.298681770145, 784.9410424208406, 3790.384299769128]]	[[[1499.0158063177596, -1838.6344154807957, 975.5760871853579], [1505.6373377381778, -1517.4425245886719, 1097.4360093924145], [1341.9471051604778, -1512.7304636099195, 1122.7112279285273], [1237.16220429516, -1213.4594599122718, 1215.220930208058], [1190.0768176289223, -948.9702549401334, 1181.3701003514611], [1684.8496473868502, -1512.0126906279506, 1052.3254926332593], [1809.5004708791762, -1205.7581671419307, 929.0410462518452], [1686.4081248333828, -1404.5911127592067, 855.8243260620429], [1362.5692600583327, -952.317315286027, 1126.735062227157], [1348.7711293334905, -491.2948005289009, 944.0535399513411], [1357.0368018924828, -64.23190811915796, 897.2756562198023], [1643.9298182776417, -922.5880392875144, 1094.1965797487783], [1622.5339543071773, -401.15281196565104, 1146.6962353636056], [1638.4798756957978, -4.6362170243221925, 1315.6713817048278], [1500.161381369892, -935.1497062455401, 1114.2707862835514], [1498.8053785450204, -1234.579446301771, 1126.7009399190292], [1500.1452571604957, -1647.1026870590963, 1030.3790709180869], [1160.8181874266534, -872.0623198473919, 1181.5027303279094], [1658.6733290388095, -1433.6896196851644, 839.178016156341], [1282.0689882125184, -66.87971696048808, 760.6431735102249], [1607.1368865399647, 59.27121540570607, 1184.27730644703]]]	[[-0.4079434218053926, -0.039967564079787576, -0.9142409641663654]]	[[-47.61277389526367, 179.6575164794922, -107.91026306152344]]	
